TS Name,Type,MotiveID,PerTonRate,Minimum?,MinRate,Status,Weekdays,Saturday,Closed,Holidays,Address,Latitude,Longitude
Borne - Transfer,Transfer,2892242,200,N,,Open,9-15,7-12,"Tuesday, Sunday","New Year’s Day, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, Christmas Day","201 MacArthur Blvd, Bourne, MA 02532",41.7318,-70.5819
Brookline - Transfer,Transfer,2892243,180,Y,180,Open,9-16,,"Saturday, Sunday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Victory Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","825 Newton Street, Chestnut Hill, MA 02467",42.31561,-71.17165
Johnston Central Landfill - Transfer,Transfer,2892249,115,N,,Open,6-15:45,6-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Victory Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","3 Shun Pike, Johnston, RI 02919",41.805,-71.5201
Mega North Smithfield - Transfer,Transfer,2892250,225,N,,Open,10-15:30,7-15:30,"Sunday, Monday, Wednesday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","14 Canal St, North Smithfield, RI 02896",42.0134,-71.5338
New Bedford Harvey - Transfer,Transfer,2892253,170,Y,85,Closed,,,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","1245 Shawmut Avenue, New Bedford, MA, USA",41.6668,-70.9553
Raynham - Transfer,Transfer,2892257,190,Y,190,Open,7-16,7-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","35 Thrasher St, Raynham, MA 02767",41.92556,-71.06679
Rochester Harvey - Transfer,Transfer,2892258,200,Y,170,Open,7-16,,"Saturday, Sunday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","50 Cranberry Hwy, West Wareham, MA 02576",41.80808,-70.77584
Rose Hill - Transfer,Transfer,2892259,200,N,,Open,7-15,7-15,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","163 Rose Hill Rd, South Kingstown, RI 02879",41.46838,-71.49363
S & J Exco Cape Cod - Transfer,Transfer,2892263,225,Y,25,Open,7-16:30,7-15,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","S & J Exco, Inc, Great Western Road, South Dennis, MA, USA",41.6911,-70.1392
Vinagro Johnston - Transfer,Transfer,2892266,125,N,,Open,7-17,7-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","35 Green Hill Road, Johnston, RI, USA",41.8002,-71.54
Waste Management Newport - Transfer,Transfer,3038081,220,Y,220,Open,8-15:15,8-11:45,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","65 Halsey St, Newport, RI 02840",41.50455,-71.31389
Atlantic Metal - Recycling,Recycling - Metal,3018102,-130,N,,Open,7:30-16:15,8-11:45,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","1282 Main St, Hanson, MA 02341",42.04441,-70.88962
A&E - Recycling,Recycling - Metal,2892238,-130,N,,Open,8-16:30,8-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","449 American Legion Hwy, Westport, MA 02790, USA",41.6257,-71.1039
Berger Recycling - Recycling,Recycling - Cardboard,2892240,0,N,,Open,7:15-16,7:15-11,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","126 Front St, Pawtucket, RI 02860",41.8821,-71.3807
Bob's Tire - Recycling,Recycling - Tires,2892241,5,N,,Open,7-17,,"Saturday, Sunday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","55 Brook St, New Bedford, MA 02746",41.6599,-70.9336
Mid City Scrap - Recycling,Recycling - Metal,2892251,-130,N,,Open,7-16:30,7-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","548 State Rd, Westport, MA 02790",41.6643,-71.089
Miller Recycling - Recycling,Recycling - Cardboard,2892252,0,N,,Open,7-16,7-11,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","73 Plymouth Street, Mansfield, MA, USA",42.0146,-71.2414
New England Data - Recycling,Recycling - Electronics,2892254,0.3,N,,Open,9-16,,"Saturday, Sunday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","13 Ridge Hill Rd Unit #8, Assonet, MA 02702",41.7854,-71.0754
PF Trading - Recycling,Recycling - Cardboard,2892256,0,N,,Open,10-3,,"Saturday, Sunday","New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","104 Braley Rd, East Freetown, MA 02717",41.75426,-70.96857
Santos Scrap Metal - Recycling,Recycling - Electronics,2892260,-0.08,N,,Open,7-17,7-15,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","20 Dana St, Taunton, MA 02780",41.9059,-71.1041
Sims Metal - Recycling,Recycling - Metal,2892261,-130,N,,Open,7-16,8-12,Sunday,"New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Juneteenth Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","278 Allens Ave, Providence, RI 02905",41.80587,-71.40242
