Item_Name,Volume_CY,Aliases,Category
3 Seater,3,"sofa,couch,three seater",Furniture
5 Piece Sectional,8,"large sectional,5pc sectional",Furniture
Air Conditioner Window,0.5,"window ac,ac unit",Appliances
Armchair,1.5,"upholstered chair,lounge chair",Furniture
Bag,0.1,"trash bag,leaf bag,garbage bag",Miscellaneous
Basketball Hoop,1.5,basketball goal,Miscellaneous
Bed Frame Large,1.5,"queen frame,king frame",Beds
Bicycle,1,bike,Miscellaneous
Bookshelf,2,"large bookcase,entertainment center",Furniture
Box,0.15,"box,moving box",Miscellaneous
Carpet,1.5,"rug,flooring",Miscellaneous
Cat Tower,1,"cat tree,cat furniture",Miscellaneous
China Cabinet,3,"hutch,curio cabinet",Furniture
Coffee Table,1,"cocktail table,center table",Furniture
Computer,0.3,"desktop,pc,monitor",Electronics
Desk,2.5,"computer desk,writing desk,office desk",Furniture
Dining Chair,1,"kitchen chair,office chair,desk chair",Furniture
Dining Table Large,3,"large table,banquet table",Furniture
Dishwasher,1,dish washer,Appliances
Dresser,2,"chest of drawers,small dresser",Furniture
Dryer,1,clothes dryer,Appliances
Drywall,1,sheetrock,Construction
End Table,0.5,"side table,nightstand,bedside table",Furniture
Entertainment Center,4,"tv stand,media center",Furniture
Exercise Equipment,2,"treadmill,elliptical,weight bench",Miscellaneous
File Cabinet,1.5,2-drawer cabinet,Miscellaneous
Fish Tank,1,aquarium,Miscellaneous
Freezer Chest,2,chest freezer,Appliances
Freezer Upright,2,standing freezer,Appliances
Full Box Spring,0.4,double box spring,Beds
Full Mattress,0.4,"double mattress,full bed",Beds
Grill,1,"bbq,barbecue,outdoor grill",Miscellaneous
Insulation,0.5,pink insulation,Construction
King Box Spring,1,king box spring,Beds
King Mattress,1,king bed,Beds
Loveseat,2,"2-seater,two seater,small couch",Furniture
Metal Bed Frame,0.5,bed frame metal,Furniture
Microwave,0.3,microwave oven,Appliances
Nightstand,1,"bedside table,night table",Furniture
Ottoman,1,footstool,Furniture
Patio Set,3,"outdoor furniture set,patio furniture",Furniture
Printer,0.2,"scanner,copier",Electronics
Push Mower,1,"lawn mower,lawnmower",Miscellaneous
Queen Box Spring,0.5,queen box spring,Beds
Queen Mattress,0.5,queen bed,Beds
Recliner,2.5,"reclining chair,lazy boy",Furniture
Refrigerator,3,"fridge,icebox",Appliances
Riding Mower,2,"riding lawnmower,tractor mower",Miscellaneous
Sails,1,boat sails,Miscellaneous
Sectional,6,"sectional couch,l-shaped couch",Furniture
Sectional 5-Piece,8,"large sectional,5 piece couch",Furniture
Set of Chairs,4,"dining set chairs,4 chairs",Furniture
Sewing Machine,0.5,sewing table,Miscellaneous
Siding,1,vinyl siding,Construction
Snowblower,2,"snow blower,snow thrower",Miscellaneous
Sofa,3,"couch,3-seater,three seater,sectional sofa",Furniture
Stereo,0.5,"stereo system,sound system,speakers",Electronics
Stove,1,"range,oven,cooktop",Appliances
Suitcase,0.3,luggage,Miscellaneous
TV,0.5,"medium tv,television 32-50",Electronics
Twin Box Spring,0.3,single box spring,Beds
Twin Mattress,0.3,"single mattress,twin bed",Beds
Vacuum,0.5,vacuum cleaner,Miscellaneous
Washer,1,washing machine,Appliances
Water Heater,2,"hot water heater,water tank",Appliances
