Station,Day,Hour,Avg_Minutes
Bob's Tire - Transfer,2,13,16
Borne - Transfer,2,8,15
Borne - Transfer,2,9,16.33333333
Borne - Transfer,2,10,18
Borne - Transfer,2,11,29.5
Borne - Transfer,2,12,29
Borne - Transfer,2,13,21.25
Borne - Transfer,2,14,21
Borne - Transfer,3,8,19.5
Borne - Transfer,3,9,14.83333333
Borne - Transfer,3,10,15
Borne - Transfer,3,11,18.66666667
Borne - Transfer,3,12,17
Borne - Transfer,3,13,15.25
Borne - Transfer,3,14,12
Borne - Transfer,3,15,9
Borne - Transfer,4,8,10
Borne - Transfer,4,9,27.5
Borne - Transfer,4,10,27.25
Borne - Transfer,4,11,11.33333333
Borne - Transfer,4,12,12.66666667
Borne - Transfer,4,13,14
Borne - Transfer,5,8,40
Borne - Transfer,5,9,13.5
Borne - Transfer,5,10,16.5
Borne - Transfer,5,11,14
Borne - Transfer,5,12,8
Borne - Transfer,5,13,17
Borne - Transfer,5,14,18.33333333
Borne - Transfer,6,7,13
Borne - Transfer,6,9,23
Borne - Transfer,6,10,17
Borne - Transfer,6,12,20.5
Borne - Transfer,6,13,17.25
Borne - Transfer,6,14,18
Borne - Transfer,6,15,9.5
Borne - Transfer,7,7,17.2
Borne - Transfer,7,8,23
Borne - Transfer,7,9,14.83333333
Borne - Transfer,7,10,38
Borne - Transfer,7,11,12
Johnston Central Landfill - Transfer,2,9,10
Johnston Central Landfill - Transfer,5,14,37
Raynham - Transfer,2,8,45.5
Raynham - Transfer,2,9,52
Raynham - Transfer,2,10,34
Raynham - Transfer,2,11,27
Raynham - Transfer,2,12,38.2
Raynham - Transfer,2,13,49.6
Raynham - Transfer,3,8,24.75
Raynham - Transfer,3,9,58
Raynham - Transfer,3,10,64.5
Raynham - Transfer,3,11,37.5
Raynham - Transfer,3,12,50
Raynham - Transfer,3,13,40
Raynham - Transfer,3,14,46
Raynham - Transfer,4,8,38.25
Raynham - Transfer,4,9,26.8
Raynham - Transfer,4,10,46.5
Raynham - Transfer,4,11,38
Raynham - Transfer,4,12,22.66666667
Raynham - Transfer,4,13,37
Raynham - Transfer,5,8,25
Raynham - Transfer,5,9,42
Raynham - Transfer,5,10,40.5
Raynham - Transfer,5,11,28
Raynham - Transfer,5,12,9
Raynham - Transfer,5,15,25.5
Raynham - Transfer,6,8,38.2
Raynham - Transfer,6,9,27.4
Raynham - Transfer,6,10,30.66666667
Raynham - Transfer,6,11,33.28571429
Raynham - Transfer,6,12,30
Raynham - Transfer,6,14,41
Raynham - Transfer,6,15,44.5
Raynham - Transfer,7,7,61
Raynham - Transfer,7,8,20.54545455
Raynham - Transfer,7,9,23.8
Raynham - Transfer,7,10,15
Raynham - Transfer,7,11,22
Rochester Harvey - Transfer,2,8,39.6
Rochester Harvey - Transfer,2,10,17.5
Rochester Harvey - Transfer,2,11,17
Rochester Harvey - Transfer,2,12,36
Rochester Harvey - Transfer,2,13,23.66666667
Rochester Harvey - Transfer,2,14,81
Rochester Harvey - Transfer,2,15,37.5
Rochester Harvey - Transfer,3,8,45
Rochester Harvey - Transfer,3,9,53
Rochester Harvey - Transfer,3,11,24.5
Rochester Harvey - Transfer,3,12,26
Rochester Harvey - Transfer,3,13,29
Rochester Harvey - Transfer,3,14,44.5
Rochester Harvey - Transfer,4,8,28.66666667
Rochester Harvey - Transfer,4,9,34
Rochester Harvey - Transfer,4,10,43.5
Rochester Harvey - Transfer,4,12,21.33333333
Rochester Harvey - Transfer,4,13,47.66666667
Rochester Harvey - Transfer,4,14,53.5
Rochester Harvey - Transfer,4,15,34
Rochester Harvey - Transfer,5,8,16
Rochester Harvey - Transfer,5,9,26
Rochester Harvey - Transfer,5,10,43
Rochester Harvey - Transfer,5,11,38.66666667
Rochester Harvey - Transfer,5,12,46.25
Rochester Harvey - Transfer,5,14,43
Rochester Harvey - Transfer,5,15,15
Rochester Harvey - Transfer,6,8,23.2
Rochester Harvey - Transfer,6,9,36.5
Rochester Harvey - Transfer,6,12,27.33333333
Rochester Harvey - Transfer,6,13,36.66666667
Rochester Harvey - Transfer,6,14,10
Rochester Harvey - Transfer,6,15,25.5
Rose Hill - Transfer,7,10,15
S & J Exco Cape Cod - Transfer,2,13,20
S & J Exco Cape Cod - Transfer,3,10,15
Vinagro Johnston - Transfer,2,9,24.5
Vinagro Johnston - Transfer,2,10,20.5
Vinagro Johnston - Transfer,2,11,12
Vinagro Johnston - Transfer,2,13,25
Vinagro Johnston - Transfer,3,9,25
Vinagro Johnston - Transfer,3,10,17
Vinagro Johnston - Transfer,3,12,23
Vinagro Johnston - Transfer,3,13,19.5
Vinagro Johnston - Transfer,4,10,11
Vinagro Johnston - Transfer,4,13,18
Vinagro Johnston - Transfer,5,9,18.5
Vinagro Johnston - Transfer,5,10,25
Vinagro Johnston - Transfer,5,11,19
Vinagro Johnston - Transfer,5,13,17.5
Vinagro Johnston - Transfer,5,15,15
Vinagro Johnston - Transfer,6,10,24
Vinagro Johnston - Transfer,6,13,12
Vinagro Johnston - Transfer,6,14,12
Vinagro Johnston - Transfer,7,9,16
Waste Management Newport - Transfer,5,8,16
Waste Management Newport - Transfer,5,12,17
