Truck,Entity,Start,End,Type,Duration,Driver,Collected,Amount,Geofence ID,Category,,Direction,TimeIn,TimeOut,H-M-S,Hour,Weekday,Minutes,Cost,Pounds
Truck 1,Truck Parking - Storage,11/07/2025 5:29:41 PM,11/08/2025 5:22:35 PM,Storage,85974,,,,2892265,Uncategorized,,geofence_exit,,,23:52:54,17.00,6 - Friday,1433,#REF!,
Truck 2,Truck Parking - Storage,11/08/2025 12:11:28 PM,11/12/2025 8:16:55 AM,Storage,331527,,,,2892265,Uncategorized,,geofence_exit,,,20:05:27,12.00,7 - Saturday,5526,,
Truck 3,Truck Parking - Storage,11/08/2025 7:04:21 PM,11/08/2025 7:12:51 PM,Storage,510,,,,2892265,Uncategorized,,geofence_exit,,,0:08:30,19.00,7 - Saturday,9,,
Truck 1,Truck Parking - Storage,11/08/2025 7:26:52 PM,11/08/2025 7:56:35 PM,Storage,1783,,,,2892265,Uncategorized,,geofence_exit,,,0:29:43,19.00,7 - Saturday,30,,
Truck 3,Truck Parking - Storage,11/08/2025 10:28:11 PM,11/10/2025 12:50:39 PM,Storage,138148,,,,2892265,Uncategorized,,geofence_exit,,,14:22:28,22.00,7 - Saturday,2303,,
Truck 1,Truck Parking - Storage,11/08/2025 10:43:07 PM,11/10/2025 1:17:10 PM,Storage,138843,,,,2892265,Uncategorized,,geofence_exit,,,14:34:03,22.00,7 - Saturday,2315,,
Truck 3,Truck Parking - Storage,11/10/2025 11:24:36 AM,11/10/2025 11:50:34 AM,Storage,1558,,,,2892265,Uncategorized,,geofence_exit,,,0:25:58,11.00,2 - Monday,26,,
Truck 1,Truck Parking - Storage,11/10/2025 11:48:50 AM,11/10/2025 12:08:24 PM,Storage,1174,,,,2892265,Uncategorized,,geofence_exit,,,0:19:34,11.00,2 - Monday,20,,
Truck 3,Raynham - Transfer,11/10/2025 12:25:14 PM,11/10/2025 12:39:24 PM,Transfer,850,,,,2892257,Terminal / Yard,,geofence_exit,,,0:14:10,12.00,2 - Monday,15,,
Truck 3,Rochester Harvey - Transfer,11/10/2025 1:08:51 PM,11/10/2025 1:31:13 PM,Transfer,1342,,,,2892258,Terminal / Yard,,geofence_exit,,,0:22:22,13.00,2 - Monday,23,,
Truck 1,Cape Cod - Region,11/10/2025 1:16:46 PM,11/10/2025 1:30:17 PM,Region,811,,,,2892277,Uncategorized,,geofence_exit,,,0:13:31,13.00,2 - Monday,14,,
Truck 1,Borne - Transfer,11/10/2025 1:21:11 PM,11/10/2025 1:27:57 PM,Transfer,406,,,,2892242,Terminal / Yard,,geofence_exit,,,0:06:46,13.00,2 - Monday,7,,
Truck 3,Raynham - Transfer,11/10/2025 1:28:26 PM,11/10/2025 1:51:58 PM,Transfer,1412,,,,2892257,Terminal / Yard,,geofence_exit,,,0:23:32,13.00,2 - Monday,24,,
Truck 1,Raynham - Transfer,11/10/2025 1:43:10 PM,11/10/2025 2:06:17 PM,Transfer,1387,,,,2892257,Terminal / Yard,,geofence_exit,,,0:23:07,13.00,2 - Monday,24,,
Truck 1,Truck Parking - Storage,11/10/2025 2:24:17 PM,11/10/2025 2:31:10 PM,Storage,413,,,,2892265,Uncategorized,,geofence_exit,,,0:06:53,14.00,2 - Monday,7,,
Truck 3,Rhode Island - Region,11/10/2025 2:24:47 PM,11/10/2025 3:18:15 PM,Region,3208,,,,2892279,Uncategorized,,geofence_exit,,,0:53:28,14.00,2 - Monday,54,,
Truck 1,Truck Parking - Storage,11/10/2025 2:34:15 PM,11/10/2025 3:48:33 PM,Storage,4458,,,,2892265,Uncategorized,,geofence_exit,,,1:14:18,14.00,2 - Monday,75,,
