Truck Number:,Recycler:,Time:,Date:,Collected,Amount 6576,Direction,Month,Type,Category,Driver
Truck 1,Zions - Middleboro Recycling,12:48:00 PM,09/02/2025 4:48:14 PM,Yes,17,Exit,09/02/2025 4:48:14 PM,Recycling,,
Truck 1,Zions - Middleboro Recycling,2:16:00 PM,09/02/2025 6:16:59 PM,Yes,26,Exit,09/02/2025 6:16:59 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,3:08:00 PM,09/03/2025 7:09:04 PM,Yes,89,Exit,09/03/2025 7:09:04 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,8:45:00 AM,09/05/2025 12:46:03 PM,Yes,21,Exit,09/05/2025 12:46:03 PM,Recycling,,
Truck 2,A E Recycling,3:02:00 PM,09/05/2025 7:02:55 PM,Yes,36,Exit,09/05/2025 7:02:55 PM,Recycling,,
Truck 1,Zions - Middleboro Recycling,8:42:00 AM,09/10/2025 12:42:04 PM,Yes,62,Exit,09/10/2025 12:42:04 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,11:12:00 AM,09/11/2025 3:12:45 PM,Yes,10,Exit,09/11/2025 3:12:45 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,8:45:00 AM,09/12/2025 12:45:24 PM,Yes,31,Exit,09/12/2025 12:45:24 PM,Recycling,,
Truck 2,Zions - Middleboro Recycling,1:18:00 PM,09/15/2025 5:18:25 PM,Yes,87,Exit,09/15/2025 5:18:25 PM,Recycling,,
Truck 2,A E Recycling,12:26:00 PM,09/17/2025 4:26:18 PM,Yes,17,Exit,09/17/2025 4:26:18 PM,Recycling,,
Truck 1,A E Recycling,1:13:00 PM,09/18/2025 5:13:47 PM,Yes,52,Exit,09/18/2025 5:13:47 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,11:43:00 AM,09/19/2025 3:43:47 PM,Yes,100,Exit,09/19/2025 3:43:47 PM,Recycling,,
Truck 3,Zions - Middleboro Recycling,10:35:00 AM,09/20/2025 2:35:57 PM,Yes,38,Exit,09/20/2025 2:35:57 PM,Recycling,,
Truck 2,Zions - Middleboro Recycling,12:07:00 PM,09/23/2025 4:07:07 PM,Yes,64,Exit,09/23/2025 4:07:07 PM,Recycling,,
Truck 1,Zions - Middleboro Recycling,10:28:00 AM,09/24/2025 2:28:16 PM,Yes,30,Exit,09/24/2025 2:28:16 PM,Recycling,,
